Question,Answer
"<p style=""text-align: center;""><span class=""large"">生日</span></p>","<p style=""text-align: center;""><span class=""large"">shēngrì </span></p><p style=""text-align: center;""><span class=""large"">生日 </span></p><p style=""text-align: center;""><span class=""large"">n.  birthday</span></p>"
"<p style=""text-align: center;""><span class=""large"">快乐</span></p>","<p style=""text-align: center;""><span class=""large"">kuàilè </span></p><p style=""text-align: center;""><span class=""large"">快乐 </span></p><p style=""text-align: center;""><span class=""large"">adj.  happy, glad</span></p>"
"<p style=""text-align: center;""><span class=""large"">给</span></p>","<p style=""text-align: center;""><span class=""large"">gěi </span></p><p style=""text-align: center;""><span class=""large"">给 </span></p><p style=""text-align: center;""><span class=""large"">prep. (used after a verb) to for</span></p>"
"<p style=""text-align: center;""><span class=""large"">姐</span></p>","<p style=""text-align: center;""><span class=""large"">jiē </span></p><p style=""text-align: center;""><span class=""large"">姐 </span></p><p style=""text-align: center;""><span class=""large"">v.  to receive, to take, to accept</span></p>"
"<p style=""text-align: center;""><span class=""large"">晚上</span></p>","<p style=""text-align: center;""><span class=""large"">wǎnshang </span></p><p style=""text-align: center;""><span class=""large"">晚上 </span></p><p style=""text-align: center;""><span class=""large"">n.  evening, night</span></p>"
"<p style=""text-align: center;""><span class=""large"">问</span></p>","<p style=""text-align: center;""><span class=""large"">wèn </span></p><p style=""text-align: center;""><span class=""large"">问 </span></p><p style=""text-align: center;""><span class=""large"">v. to ask</span></p>"
"<p style=""text-align: center;""><span class=""large"">非常</span></p>","<p style=""text-align: center;""><span class=""large"">fēicháng </span></p><p style=""text-align: center;""><span class=""large"">非常 </span></p><p style=""text-align: center;""><span class=""large"">adv.  very, extremely</span></p>"
"<p style=""text-align: center;""><span class=""large"">开始</span></p>","<p style=""text-align: center;""><span class=""large"">kāishǐ </span></p><p style=""text-align: center;""><span class=""large"">开始 </span></p><p style=""text-align: center;""><span class=""large"">v.  to begin, to start</span></p>"
"<p style=""text-align: center;""><span class=""large"">已经</span></p>","<p style=""text-align: center;""><span class=""large"">yǐjīng </span></p><p style=""text-align: center;""><span class=""large"">已经 </span></p><p style=""text-align: center;""><span class=""large"">adv.  already</span></p>"
"<p style=""text-align: center;""><span class=""large"">长</span></p>","<p style=""text-align: center;""><span class=""large"">cháng </span></p><p style=""text-align: center;""><span class=""large"">长 </span></p><p style=""text-align: center;""><span class=""large"">adj.  long</span></p>"
"<p style=""text-align: center;""><span class=""large"">两</span></p>","<p style=""text-align: center;""><span class=""large"">liǎng </span></p><p style=""text-align: center;""><span class=""large"">两 </span></p><p style=""text-align: center;""><span class=""large"">adj.  long</span></p>"
"<p style=""text-align: center;""><span class=""large"">帮</span></p>","<p style=""text-align: center;""><span class=""large"">bāng </span></p><p style=""text-align: center;""><span class=""large"">帮 </span></p><p style=""text-align: center;""><span class=""large"">v.  to help, to assist</span></p>"
"<p style=""text-align: center;""><span class=""large"">介绍</span></p>","<p style=""text-align: center;""><span class=""large"">jièshào </span></p><p style=""text-align: center;""><span class=""large"">介绍 </span></p><p style=""text-align: center;""><span class=""large"">v.  to introduce, to recommend</span></p>"
